id,duration,views,likes,favorites,comments
SB-qEYVdvXA,PT11M8S,34570650,227269,0,18694
XyNlqQId-nk,PT10M16S,35310178,117267,0,8370
6FQsIfE7sZM,PT7M40S,7285267,38078,0,1384
uHKfrz65KSU,PT5M57S,64280685,612425,0,20822
_EPM2vlPHpE,PT1M57S,386134,14987,0,908
N6SFfBjf4x0,PT2M48S,4975344,241161,0,17359
hY7m5jjJ9mM,PT10M2S,115398979,507891,0,50674
vpDV_9mjNPc,PT31S,2325876,4773,0,38
Nhryz43eWEw,PT10M42S,14433715,138201,0,2924
HTpZ2ubXkBE,PT9M20S,5662555,27721,0,0
aFDVKszfl_A,PT27S,15850471,548068,0,5198
SvXXpmXedHE,PT42S,65092,716,0,36
awhhNZpqbLA,PT5M14S,277223,2498,0,138
tmuHYdEFSoo,PT1M13S,154237,513,0,6
LV2mhGeJaUc,PT17M28S,475277,5002,0,0
NVRureTwvIs,PT7M14S,734396,8784,0,0
uqZjKPCBfaE,PT1M53S,158316,918,0,76
w-QTxbZbaE4,PT3M16S,2715,34,0,0
h6_g8Zu0dEw,PT16M36S,15544753,368824,0,0
5jQUVSEkR-M,PT1M31S,62701,705,0,110
bpfbbolyOKY,PT2M26S,112273,528,0,56
J89jjCJZxCY,PT52S,69398,2965,0,16
zJV2shjKPsE,PT12M35S,155,9,0,0
VS4mbg-VUJo,PT1M47S,1070,20,0,0
64wuhEykmCU,PT16M36S,525486,13396,0,277
lugnZFaOWWE,PT2M32S,2073417,34914,0,1874
KNvBVXPosTA,PT4M54S,7565431,20045,0,0
HKMi8B2jg5g,PT8M21S,55360,427,0,45
OIfxy39dpxM,PT16M57S,248480,15713,0,804
sAmbjgRLpCE,PT2M13S,849903,29738,0,1505
MlKs72L7gTU,PT16M55S,815381,15913,0,0
CwaD9tb1P50,PT14S,341751,1979,0,220
nv3gmvrp84Q,PT3M43S,811222,7297,0,441
O4q5eUYbXEY,PT50S,94241,93,0,11
WOhEZMD3F8E,PT11M14S,5096223,136984,0,0
DiQH3TfXbTc,PT16M36S,1099365,24541,0,0
x_Xevvy7DuM,PT12M,2459,21,0,5
KBdxQyPWgg0,PT56S,595075,2618,0,89
ogvBF0RxTHk,PT11M14S,186295,3261,0,0
Key2GpuCkFQ,PT1M33S,2868,319,0,22
PtU_mZxrmMU,PT8M28S,126149,600,0,218
aL7wwKcY3gE,PT4M11S,163156335,494612,0,0
HK7-OcjpP5c,PT11M33S,2487,96,0,11
