id,duration,views,likes,favorites,comments
B1CPE6WWsAQ,PT10M8S,36420268,394630,0,13602
5G0zvL_VnGM,PT31M3S,214095,964,0,49
wtb1e6MYEek,PT30M40S,718590,3508,0,131
pwgXZVE3Xkw,PT8M56S,27759,345,0,17
TlQtd9ygxs4,PT30M22S,763747,3806,0,152
h9AszrN9MLk,PT9M,3005,75,0,6
cKgVCF0tlPI,PT42M43S,3862969,26347,0,1773
bpaSRPyopbw,PT7M26S,9504803,94801,0,2762
98LcBSkZNJ8,PT9M51S,21733,259,0,19
EHxRUJc_-lY,PT3M39S,2107775,46233,0,1155
WDlu1OhvYBM,PT10M2S,44622111,264305,0,6592
0DPZ9b9ZZr4,PT30M14S,141039,1175,0,44
yxOMK-8canw,PT10M18S,1800422,7255,0,284
w_e5cIYQuPI,PT9M40S,11662,187,0,4
UgMxqfLKlyc,PT6M41S,1235253,4785,0,198
MQ11fPpPKwg,PT8M35S,545155,3496,0,438
x1-qjxZXkTw,PT9M23S,21285,292,0,22
ebsS9tEi5zc,PT14M13S,770783687,5457568,0,109949
j4UN-tPInZI,PT2M4S,1430929,12302,0,164
9tuBjI2gmV0,PT48M13S,7133261,32273,0,2266
ZRmmVKbGQ60,PT3M5S,24119887,264689,0,27507
j-rFBH07GUk,PT19M52S,7304377,125701,0,8129
oW8xBI3ILMQ,PT1M56S,16408943,108336,0,2998
o9dIxmlGTxk,PT8M11S,2135,108,0,9
TGS8a6lYWY8,PT25M14S,13012,723,0,128
x7zBOiGZ31A,PT46M53S,8755936,242805,0,28859
SaPndOIkzR0,PT13M9S,12362,1260,0,211
iucW5evsuLE,PT3H1M16S,1623171,3410,0,119
rhEOcQg6-8Q,PT8M3S,41122,3423,0,306
tChSA7PtHNs,PT14M56S,8733204,119104,0,2989
CYAh4Pss0ns,PT8M28S,938769,3467,0,54
I7Rp9b1BaxM,PT6M29S,7974488,45651,0,3043
REJm8XRu7RI,PT26M18S,334362,23358,0,3207
v8BtZ8IdoNY,PT24M42S,106265594,212281,0,0
-nle-5armwo,PT11H54M58S,5550,40,0,0
6KISyzyKPLg,PT8M11S,111006,5698,0,517
g6eB8IeX_cs,PT7M42S,14151817,346436,0,10779
bP1nzL5nUn8,PT21M,11513,401,0,167
kozuZul7-gA,PT12M39S,2472,270,0,99
MHQ3pTt3hiE,PT10M24S,48942,2628,0,196
YRGZp8z8Rmc,PT1M32S,65886,1617,0,85
3Mr17E_brTQ,PT9M36S,1898222,40818,0,3953
1PhPYr_9zRY,PT3M54S,40044391,1691219,0,107363
xOz8u9n83Qg,PT24M37S,102481,2910,0,271
