,id,airport_ref,airport_ident,type,description,frequency_mhz
0,70518,6528,00CA,CTAF,CTAF,122.9
1,307581,6589,01FL,ARCAL,,122.9
2,75239,6589,01FL,CTAF,CEDAR KNOLL TRAFFIC,122.8
3,60191,6756,04CA,CTAF,CTAF,122.9
4,59287,6779,04MS,UNIC,UNICOM,122.8
5,60682,6784,04NV,UNIC,UNICOM,123.0
6,60091,6812,05CL,CTAF,CTAF,122.9
7,63835,6853,05UT,UNIC,UNICOM,122.8
8,70676,6868,06FA,APP,PALM BEACH APP,124.6
9,70677,6868,06FA,GND,GND,121.65
10,70678,6868,06FA,TWR,TWR,120.4
11,65868,6887,06MO,CTAF,CTAF,122.9
12,71176,6924,07FA,UNIC,UNICOM,122.7
13,66637,6943,07MT,CNTR,SALT LAKE CITY CNTR,126.85
14,69383,6954,07TE,CNTR,HOUSTON CNTR,126.625
15,61673,7008,08TE,UNIC,UNICOM,122.8
16,61013,7019,09CL,CTAF,CTAF,122.9
17,59566,7021,09FA,UNIC,UNICOM,122.8
18,68176,7054,09TS,CNTR,ALBUQUERQUE CNTR,132.65
19,59735,7094,0AZ2,UNIC,UNICOM,122.95
20,328741,7102,0C2,CTAF,,122.9
21,62825,7116,0CA9,CTAF,CTAF,122.9
22,59296,7213,0ID2,ARTC,SALT LAKE CITY CNTR,128.35
23,60367,7542,0TE4,UNIC,CTAF/UNICOM,122.8
24,59580,7543,0TE5,CNTR,HOUSTON CNTR,126.625
25,59437,7545,0TE7,UNIC,UNICOM,122.8
26,67677,7569,0TX1,UNIC,UNICOM,123.05
27,59357,7712,11II,CNTR,INDIANAPOLIS CNTR,134.85
28,59358,7712,11II,CTAF,CTAF,126.2
31,71354,7781,12NC,APP,CHERRY POINT APP,119.75
32,69316,7789,12OK,UNIC,UNICOM,123.0
33,70478,7838,13NC,APP,CHERRY POINT APP,119.35
34,333203,7838,13NC,CTAF,,322.1
35,70367,7898,14NC,A/D,CHERRY POINT APP,119.35
36,66604,7917,14TS,CNTR,HOUSTON CNTR,126.625
37,59174,7928,15AR,UNIC,RDO CTL,122.725
38,68311,7934,15FL,UNIC,UNICOM,123.0
39,60025,8028,16X,CNTR,FORT WORTH CNTR,127.45
40,70821,8082,18AZ,UNIC,UNICOM,122.975
41,67241,8117,18TA,CNTR,HOUSTON CNTR,126.625
42,62339,8118,18TE,UNIC,UNICOM,122.8
43,61636,8205,1AZ0,UNIC,UNICOM,122.725
44,67423,8222,1CA1,CTAF,CTAF,122.9
45,59235,8233,1CD2,APP,DENVER APP,119.3
46,59171,8297,1GA0,UNIC,UNICOM,122.725
47,70225,8486,1MS8,APP,MERIDIAN APP,31.48
48,298625,8732,1WA6,CTAF,Fall City Traffic,122.9
49,59128,8769,1XS8,CNTR,HOUSTON CNTR,126.625
50,70996,8787,20GA,MULT,MULT,122.9
51,63036,8924,22XS,A/G,TWR,143.35
52,63037,8924,22XS,ATIS,ATIS,118.8
53,63038,8924,22XS,INFO,RNG CTL,30.45
55,63040,8924,22XS,OPS,GRAY OPS,38.7
56,63041,8924,22XS,PMSV,PMSV GRAY METRO,41.2
57,63042,8924,22XS,TWR,GRAY TWR,120.75
58,60377,8982,23XS,A/G,LONGHORN AUX TWR,143.35
59,60378,8982,23XS,ATIS,ATIS,118.8
60,60379,8982,23XS,INFO,RNG CTL,30.45
62,60381,8982,23XS,OPS,GRAY OPS,38.7
63,60382,8982,23XS,PMSV,PMSV GRAY METRO,41.2
64,60383,8982,23XS,TWR,GRAY TWR,120.75
65,67720,8990,24CL,CTAF,CTAF,122.9
66,60694,9068,25NC,MULT,MULTICOM,122.9
67,60360,9078,25TA,CNTR,HOUSTON CNTR,126.625
68,64363,9080,25TS,CNTR,ALBUQUERQUE CNTR,132.65
69,61802,9138,27AZ,CTAF,CTAF,122.9
70,59707,9191,28CL,CTAF,CTAF,122.8
71,63365,9223,28TA,CNTR,HOUSTON CNTR,126.625
72,63366,9223,28TA,UNIC,UNICOM,122.8
73,69599,9236,29AZ,UNIC,UNICOM,122.8
74,64791,9277,29TX,CNTR,FORT WORTH CNTR,127.45
75,62214,9354,2CL9,CTAF,CTAF,122.9
76,71454,14060,2CN4,CTAF,CTAF,122.9
77,333743,9368,2D7,APP/DEP,CLEVELAND APP/DEP,125.5
78,333742,9368,2D7,CTAF,CTAF/UNICOM,122.8
79,62263,20770,2IG4,UNIC,UNICOM,122.8
80,60042,9696,2OR1,UNIC,UNICOM,122.8
81,67219,9772,2TA6,CNTR,FORT WORTH CNTR,127.45
82,63137,9774,2TA8,CNTR,HOUSTON CNTR,126.625
83,71475,9784,2TE8,CNTR,HOUSTON CNTR,126.625
84,70329,9809,2TX3,CNTR,HOUSTON CNTR,126.625
85,60402,9810,2TX4,CNTR,HOUSTON CNTR,126.625
86,69995,9835,2VG2,UNIC,UNICOM,122.725
87,60635,9880,2XA0,CNTR,FORT WORTH CNTR,127.45
88,60636,9880,2XA0,CTAF,CTAF,122.9
89,70047,9891,2XS3,CNTR,FORT WORTH CNTR,127.45
90,67073,9893,2XS5,CNTR,HOUSTON CNTR,126.625
91,61432,9985,31VA,UNIC,UNICOM,122.75
92,68592,10080,34AZ,UNIC,UNICOM,122.8
93,67703,10175,36CA,CTAF,CTAF,122.9
94,71005,10177,36CN,CTAF,CTAF,122.9
95,61623,10214,36WI,CTAF,CTAF,122.9
97,71572,10265,38AZ,AWOS,AWOS 2,119.225
98,71573,10265,38AZ,CTAF,CTAF,122.8
99,58969,10268,38CA,UNIC,UNICOM,122.8
100,59333,10312,38XS,UNIC,UNICOM,122.8
101,63196,18674,3B3,CTAF,CTAF,122.9
102,59676,10626,3MO4,CTAF,CTAF,122.9
103,333773,10702,3OH0,UNICOM,,122.9
104,60299,10788,3TA0,CNTR,HOUSTON CNTR,126.625
105,68035,10793,3TA5,CNTR,HOUSTON CNTR,126.625
106,69452,10794,3TA6,CNTR,HOUSTON CNTR,126.625
107,58979,10820,3TS1,CNTR,HOUSTON CNTR,126.625
108,60232,10899,3XS8,CNTR,HOUSTON CNTR,126.625
109,61823,10997,42KY,UNIC,UNICOM,122.8
110,58962,11153,46CN,UNIC,UNICOM,123.0
111,71311,18795,48Y,A/D,MINNEAPOLIS CNTR,134.75
112,71312,18795,48Y,UNIC,UNICOM,122.8
113,58768,11326,4AK6,CTAF,CTAF,122.9
114,66205,11355,4AZ7,FSS,PRESCOTT RDO,122.3
115,66206,11355,4AZ7,UNIC,CTAF/UNICOM,122.8
116,60225,20622,4PA0,A/D,HARRISBURG APP/DEP,126.45
117,60226,20622,4PA0,RDO,WILLIAMSPORT RDO,114.6
118,60227,20622,4PA0,UNIC,CTAF/UNICOM,123.0
119,61753,11711,4TA0,FSS,MONTGOMERY CO RDO,122.2
120,63351,11716,4TA6,CNTR,HOUSTON CNTR,126.625
121,63575,11720,4TE0,CNTR,FORT WORTH CNTR,127.45
122,63576,11720,4TE0,UNIC,UNICOM,122.75
123,68528,11729,4TE9,CNTR,HOUSTON CNTR,126.625
124,69080,11747,4TS8,CNTR,HOUSTON CNTR,126.625
125,60401,12073,55XS,UNIC,UNICOM,122.7
126,70321,12117,57AZ,UNIC,UNICOM,122.9
127,67344,12124,57FA,UNIC,UNICOM,122.8
128,62091,12162,58CL,CTAF,CTAF,122.9
129,59619,12296,5CA7,CTAF,CTAF,122.9
130,58934,18909,5K2,UNIC,CTAF/UNICOM,122.8
131,59436,18493,5KY4,CTAF,CTAF,122.9
132,59431,18777,5KY7,UNIC,CTAF/UNICOM,122.8
133,63269,12466,5LS9,FSS,DE RIDDER RDO,122.2
135,69474,12685,5TS1,CNTR,HOUSTON CNTR,126.625
136,58867,12798,60TA,UNIC,UNICOM,122.975
137,66875,12799,60TE,CNTR,HOUSTON CNTR,126.625
138,66876,12799,60TE,UNIC,UNICOM,122.75
139,65169,12929,63XS,CNTR,HOUSTON CNTR,126.625
140,69711,13056,67CA,CTAF,CTAF,122.9
141,58903,13097,68CA,CTAF,CTAF,122.9
142,71473,13098,68CL,CTAF,CTAF,122.9
143,71474,13098,68CL,UNIC,UNICOM,123.05
144,70749,13128,68TS,UNIC,UNICOM,122.7
145,70763,13168,69TX,CNTR,HOUSTON CNTR,126.625
146,60122,18984,6F1,CTAF,CTAF,122.9
147,63932,13415,6NC1,UNIC,UNICOM,122.7
148,60105,13549,6TE6,CNTR,FORT WORTH CNTR,127.45
149,70826,13716,72CL,CTAF,CTAF,122.9
150,66443,13729,72MI,UNIC,UNICOM,122.75
151,62062,13745,72TA,CNTR,HOUSTON CNTR,126.625
152,64741,13746,72TE,CNTR,HOUSTON CNTR,126.625
153,65355,13826,74TE,CNTR,FORT WORTH CNTR,127.45
154,65356,13826,74TE,UNIC,UNICOM,122.725
155,59116,13842,75FL,UNIC,UNICOM,122.8
156,63878,13871,75TA,CNTR,FORT WORTH CNTR,127.45
157,70679,13874,75TX,CNTR,HOUSTON CNTR,126.625
158,62591,13914,76TA,CNTR,ALBUQUERQUE CNTR,132.65
159,60355,13959,77XS,CNTR,HOUSTON CNTR,126.625
160,309336,14055,7B3,CTAF,Hampton Traffic,122.8
161,59275,14062,7CA2,CTAF,CTAF,122.95
163,68118,14110,7FL6,CLD,DAYTONA,121.725
164,68119,14110,7FL6,UNIC,UNICOM,122.975
165,325419,14159,7IN8,CTAF,,122.9
166,59919,14270,7NC2,MULT,MULT,122.9
167,68253,14352,7PA3,INFO,ACTIVATE LIRL,129.9
168,307057,14377,7S3,CTAF,Twin Oaks Traffic,123.05
169,69987,14393,7TE1,CNTR,HOUSTON CNTR,126.625
170,60310,14394,7TE2,CNTR,HOUSTON CNTR,126.625
171,59274,14398,7TE6,CNTR,HOUSTON CNTR,126.625
172,64210,14399,7TE7,CNTR,HOUSTON CNTR,126.625
173,64211,14399,7TE7,UNIC,UNICOM,122.8
174,67693,14400,7TE8,CNTR,FORT WORTH CNTR,127.45
175,75265,45974,7TN5,UNICOM,,122.75
176,66387,14422,7TX0,CNTR,FORT WORTH CNTR,127.45
177,66829,14566,82IS,UNIC,UNICOM,122.9
178,60394,14625,83TX,CNTR,HOUSTON CNTR,126.625
179,64949,14704,85TX,CNTR,HOUSTON CNTR,126.625
180,59716,14761,87MO,CTAF,CTAF,122.9
181,67473,19113,89NY,UNIC,CTAF/UNICOM,122.8
182,60106,14844,89TS,CNTR,HOUSTON CNTR,126.625
183,62238,14879,8CA8,CTAF,CTAF,122.9
184,61344,15169,8TA0,CNTR,HOUSTON CNTR,126.625
185,69843,15185,8TE6,CNTR,ALBUQUERQUE CNTR,132.65
186,60668,15208,8TS9,CNTR,HOUSTON CNTR,126.625
187,59188,15267,8XS8,CNTR,FORT WORTH CNTR,127.45
188,62544,15330,91TS,CNTR,HOUSTON CNTR,126.625
189,65981,15331,91TX,CNTR,HOUSTON CNTR,126.625
190,61740,15340,92CA,CTAF,CTAF,122.9
191,61803,15375,92XS,CNTR,HOUSTON CNTR,126.625
192,64939,15438,94TX,CNTR,FORT WORTH CNTR,127.45
193,60366,15472,95TX,CNTR,HOUSTON CNTR,126.625
194,75215,15521,97FL,CTAF,Loves Landing,122.9
195,62765,15600,99CL,CTAF,CTAF,122.9
196,70791,15667,9CA7,CTAF,CTAF,122.9
197,66174,15672,9CL2,CTAF,CTAF,122.9
198,65124,15841,9NC0,UNIC,CTAF/UNICOM,122.8
199,69990,15900,9OI5,UNIC,UNICOM,122.8
200,65957,15956,9SD9,UNIC,UNICOM,122.8
201,62738,15959,9TA2,CNTR,ALBUQUERQUE CNTR,132.65
202,320654,15969,9TE2,UNICOM,,123.07
203,67953,15989,9TS3,CNTR,HOUSTON CNTR,126.625
206,335733,335716,ACFC,Woodlands Adviso,Woodlands Traffic,131.35
207,49555,3,AGGH,AFIS,INFO,118.1
208,49556,3,AGGH,INFO,INFO,342.5
209,49557,4,AGGM,AFIS,INFO,118.1
210,49558,4,AGGM,RDO,RDO,118.1
211,63437,16204,AL12,MULT,MULTICOM,122.85
212,75264,45229,AMC,CTAF,Tower not yet operational,122.8
213,55887,8,ANYN,A/G,FIC,118.1
214,300153,38710,AR-0035,COM,Allen Traffic,123.5
215,328118,38713,AR-0038,CTAF,"""Alvear""",123.5
216,319343,38754,AR-0079,AFIS,,123.0
217,324360,38812,AR-0137,COM,El Pájaro Traffic,123.2
218,299482,38833,AR-0158,Non controlled,Some aircrafts without radio operate here.,123.5
219,327916,38980,AR-0305,CTAF,,123.5
220,324363,42821,AR-0399,COM,Rodriguez Traffic,123.2
221,298860,42884,AR-0462,A/G,,118.9
222,299296,38204,AU-0005,CTAF,Myrup Traffic,126.7
223,311844,38213,AU-0014,ctaf,Abrolhos traffic,127.1
224,298939,38217,AU-0018,CTAF,,126.7
225,311846,45164,AU-0038,ctaf,Abrolhos traffic,127.1
